,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Jamestown,75,US,1586562831,59,42.1,-79.24,37.99,19.46
1,Nikolskoye,75,RU,1586563077,95,59.7,30.79,33.01,4.47
2,Lethem,89,GY,1586563078,62,3.38,-59.8,84.38,10.76
3,Rikitea,86,PF,1586563079,74,-23.12,-134.97,77.43,7.4
4,Quatre Cocos,40,MU,1586563080,78,-20.21,57.76,78.8,11.41
5,Ushuaia,40,AR,1586562887,73,-54.8,-68.3,44.6,10.29
6,Saint George,1,US,1586563069,39,37.1,-113.58,64.99,18.34
7,Port Alfred,49,ZA,1586563084,86,-33.59,26.89,64.76,4.05
8,Sabang,87,ID,1586563085,78,5.89,95.32,83.01,11.99
9,New Norfolk,75,AU,1586563086,66,-42.78,147.06,55.99,5.82
10,Castro,27,BR,1586563088,63,-24.79,-50.01,55.06,3.33
11,Yeppoon,19,AU,1586563089,69,-23.13,150.73,80.6,6.93
12,Yellowknife,75,CA,1586562976,57,62.46,-114.35,19.4,17.22
13,Mataura,0,NZ,1586563091,71,-46.19,168.86,62.01,3.0
14,Talnakh,75,RU,1586563093,92,69.49,88.4,17.6,29.08
15,Departamento de Maldonado,20,UY,1586562866,87,-34.67,-54.92,60.8,3.36
16,Sørland,100,NO,1586563095,82,67.67,12.69,33.85,17.29
17,Honningsvåg,100,NO,1586563096,90,70.98,25.97,29.71,17.63
18,Port Lincoln,99,AU,1586563097,62,-34.73,135.87,61.72,14.54
19,Bredasdorp,69,ZA,1586563099,87,-34.53,20.04,57.2,4.7
20,Mahébourg,40,MU,1586562925,78,-20.41,57.7,78.8,11.41
21,Eureka,90,US,1586562977,81,40.8,-124.16,57.0,16.11
22,Poum,85,NC,1586563102,66,-20.23,164.02,77.79,8.81
23,Arraial do Cabo,75,BR,1586563096,88,-22.97,-42.03,71.6,2.24
24,Andenes,100,NO,1586563105,80,69.31,16.12,30.2,25.28
25,Busselton,64,AU,1586563106,46,-33.65,115.33,71.01,11.79
26,Barrow,90,US,1586563094,70,71.29,-156.79,-0.4,12.75
27,Lompoc,20,US,1586562914,72,34.64,-120.46,66.99,12.75
28,Kundiawa,98,PG,1586563110,33,-6.02,144.97,77.81,3.31
29,Sacramento,75,US,1586562911,52,38.47,-121.32,72.0,5.82
30,Tibati,100,CM,1586563112,74,6.47,12.63,69.53,2.33
31,Arkhara,62,RU,1586563114,56,49.42,130.08,44.24,1.63
32,Port Elizabeth,40,ZA,1586563094,93,-33.92,25.57,59.0,3.36
33,Kapaa,20,US,1586563087,61,22.08,-159.32,78.8,8.05
34,Ribeira Grande,21,PT,1586563118,75,38.52,-28.7,61.83,4.81
35,Thompson,75,CA,1586562973,47,55.74,-97.86,33.8,6.93
36,Bathsheba,20,BB,1586563119,74,13.22,-59.52,80.6,11.41
37,Santa Cruz de Tenerife,75,ES,1586562901,93,28.47,-16.25,71.01,24.16
38,Ketchikan,1,US,1586562888,37,55.34,-131.65,50.0,13.87
